table_name	column_name
ClaimData_Audit	CalculatedClaimsAdj
ClaimData_Audit	NewClaimsAdj
ClaimData_Audit	ClaimsDataFile
ClaimData_Audit	ClaimsDataFileName
ClaimData_Audit	ReasonCategoryID
ClaimData_Audit	Reason
ClaimData_Audit	CreatedBy
ClaimData_Audit	CreatedDate
ClaimData_Audit	ModifiedBy
ClaimData_Audit	ModifiedDate
ClaimData_Audit	ClaimUploadFileID
ClaimExperienceData	ID
ClaimExperienceData	ClaimDataID
ClaimExperienceData	YearTitle
ClaimExperienceData	NoOfMembersStart
ClaimExperienceData	NoOfMembersEnd
ClaimExperienceData	ReportedClaims
ClaimExperienceData	NoOfClaims
ClaimExperienceData	PopulationExposedtoRisk
ClaimExperienceData	BurningCost
ClaimExperienceData	Frequency
ClaimExperienceData	InsurerID
ClaimExperienceData	CreatedBy
ClaimExperienceData	CreatedDate
ClaimExperienceData	ModifiedBy
ClaimExperienceData	ModifiedDate
ClaimProjection	ID
ClaimProjection	SeasnFactorID
ClaimProjection	MbrValue
ClaimProjection	ClaimExpCost
ClaimProjection	MbrFactor
ClaimProjection	DayFactor
ClaimProjection	Weight
ClaimProjectionData	ID
ClaimProjectionData	ClaimDataID
ClaimProjectionData	SeasonFactorID
ClaimProjectionData	SeasonDate
ClaimProjectionData	SeasonFactor
ClaimProjectionData	DayFactor
ClaimProjectionData	NoOfMembers
ClaimProjectionData	MembersFactor
ClaimProjectionData	ClaimExpCost
ClaimProjectionData	NoOfClaims
ClaimProjectionData	WeightFactor
ClaimProjectionData	CreatedBy
ClaimProjectionData	CreatedDate
ClaimProjectionData	ModifiedBy
ClaimProjectionData	ModifiedDate
ClaimProjectionData	CompletiontFactor
ClaimUploadFile	ID
ClaimUploadFile	OpportunityID
ClaimUploadFile	Name
ClaimUploadFile	ContentType
ClaimUploadFile	Data
ClaimUploadFile	Size
ClaimUploadFile	UploadType
CompletionFactor	ID
CompletionFactor	BatchID
CompletionFactor	Date
CompletionFactor	ReceivedBatchFactor
CompletionFactor	InputtedBatchFactor
ConfigurationType	ID
ConfigurationType	Name
ConfigurationType	Description
ConfigurationType	Status
CostChangeFactor	ID
CostChangeFactor	OpportunityID
CostChangeFactor	ProductID
CostChangeFactor	CostCurveFactor
CostChangeFactor	SeniorsFactor
CostChangeFactor	MaternityLoad
CostChangeFactor	ParentFactor
CostChangeFactor	ManualRate
CostChangeFactor	DefaultRate
CostChangeFactorAudit	ID
CostChangeFactorAudit	OpportunityID
CostChangeFactorAudit	ProductID
CostChangeFactorAudit	CostCurveFactor
CostChangeFactorAudit	SeniorsFactor
CostChangeFactorAudit	MaternityLoad
CostChangeFactorAudit	ParentFactor
CostChangeFactorAudit	ManualRate
CostChangeFactorAudit	DefaultRate
CostCurve	ID
CostCurve	BatchID
CostCurve	NetWorkID
CostCurve	Gender
CostCurve	Age
CostCurve	Value
CredibilityFactor	ID
CredibilityFactor	BatchID
CredibilityFactor	NetWorkID
CredibilityFactor	GroupSize
CredibilityFactor	Percentage
CRMData	ID
CRMData	OpportunityID
CRMData	ContractNo
CRMData	LastYearPremiumBeforeVAT
CRMData	CurrentPremiumBeforeVAT
CRMData	BrokerCommision
CRMData	CRMApprovedDiscount
CRMData	PricingUser
CRMData	Region
CRMData	ApprovalThresholdForManager
CRMData	ApprovalThresholdForHead
CRMData	ApprovalThresholdForDirector
